"X","age","count","returns","sum_next_use_age","*pr","*days_till_next_use","date","month"
0,67,66718,56646,4160724,0.849036242093588,6.45132930833599,2000-05-31,"May"
1,68,66292,56253,4186927,0.848563929282568,6.43028816240911,2000-05-24,"May"
0,69,66270,55885,4216012,0.84329259091595,6.44085174912767,2000-05-24,"May"
1,70,67444,56432,4323087,0.83672380048633,6.60701375106322,2000-06-11,"June"
0,71,63816,53186,4123243,0.83342735364172,6.5249689767984,2000-04-16,"April"
1,72,60919,50738,3985136,0.832876442489207,6.54341913358824,2000-03-01,"March"
0,73,58707,48733,3874559,0.83010543887441,6.5058584532042,2000-01-24,"January"
1,74,56867,47224,3802243,0.830428895492992,6.51505590377774,1999-12-23,"December"
0,75,55414,46131,3761608,0.83247915689176,6.54186989226334,1999-11-27,"November"
1,76,55098,46182,3817416,0.83817924425569,6.66025724308172,1999-11-21,"November"
0,77,55579,46246,3870157,0.832076863563576,6.68630800501666,1999-11-30,"November"
1,78,53026,44063,3733333,0.830969712970995,6.72716337970633,1999-10-14,"October"
0,79,50986,42436,3631536,0.832306907778606,6.57677443679894,1999-09-05,"September"
1,80,49934,41699,3613512,0.835082308647415,6.657042135303,1999-08-15,"August"
0,81,49456,41427,3631399,0.837653671950825,6.65778357110098,1999-08-05,"August"
1,82,49132,40816,3618537,0.830741675486445,6.6548657389259,1999-07-30,"July"
0,83,49746,41277,3701014,0.829755156193463,6.66286309567072,1999-08-11,"August"
1,84,49268,40739,3695605,0.826885605261021,6.71418051498564,1999-08-02,"August"
0,85,47090,38877,3562243,0.825589297090677,6.62854644134063,1999-06-17,"June"
1,86,44776,37039,3430033,0.827206539217438,6.6059828829072,1999-04-28,"April"
0,87,43909,36316,3404211,0.82707417613701,6.73860006608658,1999-04-08,"April"
1,88,42901,35403,3349776,0.825225519218666,6.61842216761292,1999-03-16,"March"
0,89,42195,34844,3334891,0.825785045621519,6.70918953047871,1999-02-28,"February"
1,90,41394,34081,3300260,0.823331883847901,6.83577359819255,1999-02-08,"February"
0,91,41836,34158,3340766,0.816473850272493,6.80332572164647,1999-02-19,"February"
1,92,39529,32340,3196800,0.81813352222419,6.84972170686457,1998-12-24,"December"
0,93,37286,30152,3011108,0.808668132811243,6.86428760944547,1998-10-27,"October"
1,94,35630,29005,2928849,0.814061184395173,6.97738320979141,1998-09-11,"September"
0,95,34410,28566,2909000,0.830165649520488,6.83434852621998,1998-08-08,"August"
1,96,33719,27892,2865489,0.827189418428779,6.73515703427506,1998-07-18,"July"
0,97,34289,28232,2934094,0.823354428533932,6.92795409464438,1998-08-04,"August"
1,98,34766,28480,2989893,0.819191163780705,6.98219803370786,1998-08-18,"August"
0,99,33531,27422,2904172,0.817810384420387,6.90664430019692,1998-07-13,"July"
